chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
SPY,2020-09-21,325.0000,put,buy,2020-09-21T15:07:52.835619Z,debit,1.00000,limit,,short_put_spread,0.56000000,1.00000
SPY,2020-09-21,324.0000,put,sell,2020-09-21T15:05:47.359993Z,debit,1.00000,limit,,short_put_spread,0.56000000,1.00000
SPY,2020-09-21,325.0000,put,buy,2020-09-21T15:05:47.359993Z,debit,1.00000,limit,,short_put_spread,0.56000000,1.00000
SPY,2020-09-21,324.0000,put,sell,2020-09-21T15:03:45.478144Z,debit,1.00000,limit,,short_put_spread,0.57000000,1.00000
SPY,2020-09-21,325.0000,put,buy,2020-09-21T15:03:45.478144Z,debit,1.00000,limit,,short_put_spread,0.57000000,1.00000
SPY,2020-09-21,325.0000,put,buy,2020-09-21T15:02:38.343862Z,debit,1.00000,limit,,short_put_spread,0.59000000,1.00000
SPY,2020-09-21,324.0000,put,sell,2020-09-21T15:02:38.343862Z,debit,1.00000,limit,,short_put_spread,0.59000000,1.00000
SPY,2020-09-21,324.0000,put,sell,2020-09-21T14:41:50.966634Z,debit,1.00000,limit,,short_put_spread,0.68000000,1.00000
SPY,2020-09-21,325.0000,put,buy,2020-09-21T14:41:50.966634Z,debit,1.00000,limit,,short_put_spread,0.68000000,1.00000
SPY,2020-09-21,324.0000,put,sell,2020-09-21T14:23:29.261618Z,debit,1.00000,limit,,short_put_spread,0.62000000,1.00000
SPY,2020-09-21,325.0000,put,buy,2020-09-21T14:23:29.261618Z,debit,1.00000,limit,,short_put_spread,0.62000000,1.00000
SPY,2020-09-23,314.0000,put,buy,2020-09-21T14:22:03.441813Z,credit,3.00000,limit,short_put_spread,,0.16000000,3.00000
SPY,2020-09-23,315.0000,put,sell,2020-09-21T14:22:03.441813Z,credit,3.00000,limit,short_put_spread,,0.16000000,3.00000
NIO,2020-09-25,20.0000,call,sell,2020-09-18T19:04:54.058482Z,credit,2.00000,limit,short_call,,0.69000000,2.00000
NIO,2020-09-18,19.0000,call,buy,2020-09-18T19:04:37.434215Z,debit,2.00000,limit,,short_call,0.28000000,2.00000
AMD,2020-09-25,77.0000,call,sell,2020-09-18T19:01:54.392892Z,credit,1.00000,limit,short_call,,1.32000000,1.00000
SPY,2020-09-21,325.0000,put,sell,2020-09-18T18:53:27.452215Z,credit,25.00000,limit,short_put_spread,,0.12000000,25.00000
SPY,2020-09-21,324.0000,put,buy,2020-09-18T18:53:27.452215Z,credit,25.00000,limit,short_put_spread,,0.12000000,25.00000
BABA,2020-09-18,265.0000,put,sell,2020-09-18T18:50:13.006056Z,debit,1.00000,limit,,iron_condor,0.05000000,1.00000
BABA,2020-09-18,285.0000,call,buy,2020-09-18T18:50:13.006056Z,debit,1.00000,limit,,iron_condor,0.05000000,1.00000
BABA,2020-09-18,290.0000,call,sell,2020-09-18T18:50:13.006056Z,debit,1.00000,limit,,iron_condor,0.05000000,1.00000
BABA,2020-09-18,267.5000,put,buy,2020-09-18T18:50:13.006056Z,debit,1.00000,limit,,iron_condor,0.05000000,1.00000
BABA,2020-09-18,267.5000,put,buy,2020-09-18T18:49:57.000575Z,debit,1.00000,limit,,iron_condor,0.05000000,1.00000
BABA,2020-09-18,290.0000,call,sell,2020-09-18T18:49:57.000575Z,debit,1.00000,limit,,iron_condor,0.05000000,1.00000
BABA,2020-09-18,285.0000,call,buy,2020-09-18T18:49:57.000575Z,debit,1.00000,limit,,iron_condor,0.05000000,1.00000
BABA,2020-09-18,265.0000,put,sell,2020-09-18T18:49:57.000575Z,debit,1.00000,limit,,iron_condor,0.05000000,1.00000
BABA,2020-09-18,267.5000,put,buy,2020-09-18T18:49:42.418821Z,debit,1.00000,limit,,iron_condor,0.06000000,1.00000
BABA,2020-09-18,290.0000,call,sell,2020-09-18T18:49:42.418821Z,debit,1.00000,limit,,iron_condor,0.06000000,1.00000
BABA,2020-09-18,285.0000,call,buy,2020-09-18T18:49:42.418821Z,debit,1.00000,limit,,iron_condor,0.06000000,1.00000
BABA,2020-09-18,265.0000,put,sell,2020-09-18T18:49:42.418821Z,debit,1.00000,limit,,iron_condor,0.06000000,1.00000
BABA,2020-09-18,267.5000,put,buy,2020-09-18T18:49:12.863431Z,debit,1.00000,limit,,iron_condor,0.07000000,1.00000
BABA,2020-09-18,290.0000,call,sell,2020-09-18T18:49:12.863431Z,debit,1.00000,limit,,iron_condor,0.07000000,1.00000
BABA,2020-09-18,285.0000,call,buy,2020-09-18T18:49:12.863431Z,debit,1.00000,limit,,iron_condor,0.07000000,1.00000
BABA,2020-09-18,265.0000,put,sell,2020-09-18T18:49:12.863431Z,debit,1.00000,limit,,iron_condor,0.07000000,1.00000
